Project ID,Project Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR136,"Truck Stop Electrification, Georgia",0,0,0,0,0,0,0,0,0,0,0,11152,0,0,0,0,0,0,0,0,11068,0,0,0,0,0,0
ACR137,"Truck Stop Electrification, Illinois",0,0,0,0,0,0,0,0,0,0,0,2346,0,0,0,0,0,0,0,0,18185,0,0,0,0,0,0
ACR138,"Truck Stop Electrification, Indiana",0,0,0,0,0,0,0,0,0,0,0,1957,0,0,0,0,0,0,0,0,10193,0,0,0,0,0,0
ACR139,"Truck Stop Electrification, Kentucky",0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,3278,0,0,0,0,0,0
ACR140,"Truck Stop Electrification, Louisianna",0,0,0,0,0,0,0,0,0,0,0,2285,0,0,0,0,0,0,0,0,9318,0,0,0,0,0,0
ACR141,"Truck Stop Electrification, Maryland",0,0,0,0,0,0,0,0,0,0,0,2906,0,0,0,0,0,0,0,0,9206,0,0,0,0,0,0
ACR142,"Truck Stop Electrification, Michigan",0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,3729,0,0,0,0,0,0
ACR143,"Truck Stop Electrification, Minnesota",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1765,0,0,0,0,0,0
ACR144,"Truck Stop Electrification, Mississippi",0,0,0,0,0,0,0,0,0,0,0,942,0,0,0,0,0,0,0,0,3243,0,0,0,0,0,0
ACR145,"Truck Stop Electrification, Missouri",0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,4376,0,0,0,0,0,0
ACR146,"Truck Stop Electrification, Nebraska",0,0,0,0,0,0,0,0,0,0,0,649,0,0,0,0,0,0,0,0,2475,0,0,0,0,0,0
ACR147,"Truck Stop Electrification, New Jersey",0,0,0,0,0,0,0,0,0,0,0,3166,0,0,0,0,0,0,0,0,4041,0,0,0,0,0,0
ACR148,"Truck Stop Electrification, New Mexico",0,0,0,0,0,0,0,0,0,0,0,1497,0,0,0,0,0,0,0,0,7986,0,0,0,0,0,0
ACR149,"Truck Stop Electrification, North Carolina",0,0,0,0,0,0,0,0,0,0,0,3125,0,0,0,0,0,0,0,0,5363,0,0,0,0,0,0
ACR150,"Truck Stop Electrification, North Dakota",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1348,0,0,0,0,0,0
ACR151,"Truck Stop Electrification, Ohio",0,0,0,0,0,0,0,0,0,0,0,4822,0,0,0,0,0,0,0,0,23841,0,0,0,0,0,0
ACR152,"Truck Stop Electrification, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,1797,0,0,0,0,0,0,0,0,6368,0,0,0,0,0,0
ACR153,"Truck Stop Electrification, Oregon",0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,5081,0,0,0,0,0,0
ACR154,"Truck Stop Electrification, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,6772,0,0,0,0,0,0,0,0,18046,0,0,0,0,0,0
ACR155,"Truck Stop Electrification, South Carolina",0,0,0,0,0,0,0,0,0,0,0,1546,0,0,0,0,0,0,0,0,3783,0,0,0,0,0,0
ACR156,"Truck Stop Electrification, Tennessee",0,0,0,0,0,0,0,0,0,0,0,7546,0,0,0,0,0,0,0,0,11872,0,0,0,0,0,0
ACR157,"Truck Stop Electrification, Texas",0,0,0,0,0,0,0,0,0,0,0,25757,0,0,0,0,0,0,0,0,60155,0,0,0,0,0,0
ACR158,"Truck Stop Electrification, Utah",0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,3407,0,0,0,0,0,0
ACR159,"Truck Stop Electrification, West Virginia",0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0
ACR160,Tyson Wastewater Treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR161,Upper Rock LFG to Energy,0,0,0,0,0,0,0,0,0,0,0,184632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR162,International Paper,0,0,0,0,0,0,0,0,0,300000,139035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR163,Des Plaines LFG to Energy,0,0,0,0,0,0,0,0,500,1000,3792,110583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR164,DANC,0,0,0,0,0,0,0,0,0,0,0,0,476553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR165,Malhas Menegotti Industria Textil Fuel Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253991,0,0,0,0,0,0,0
ACR167,Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility,0,0,0,0,0,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR168,Angeles National Forest Carbon Demonstration Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR170,ECC ODS Destruction 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306517,0,0,0,0,0,0,0,0,0
ACR171,Nitrous Oxide Reduction in Corn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ACR172,EOS ARB ODS 2013-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55996,0,0,0,0,0,0,0,0,0
ACR173,Round Valley Indian Tribes Improved Forest Management Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464571,0,45888,0,2926,0,0,0
ACR174,Blue Source - Bishop Improved Forest Management Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR175,DPC Domestic ODS Destruction Project #12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR176,ECC ODS Destruction 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255227,0,0,0,0,0,0,0,0
ACR177,Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673609,0,0,0,0,0,0,0
ACR178,EOS ARB ODS 2013-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR179,Wabashco Clean Sweep I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50600,0,0,0,0,0,0,0,0,0
ACR181,EOS ARB ODS 2013-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51864,0,0,0,0,0,0,0,0
ACR182,Hanes Ranch Forest Carbon Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86628,0,16242,0,0,0,0,27668,0
ACR183,D.P.C. Domestic ODS Destruction Project #12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38517,0,0,0,0,0,0,0,0
ACR184,EOS ACR 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249025,0,0,0,0,0,0,0,0
ACR186,Devil Fire Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR187,Storrie Fire Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR188,"Truck Stop Electrification, BEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16123,6934,0,0,0,0,0,0,20492
