Project ID,Project Name, Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR131,"Truck Stop Electrification, Arizona",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,615,3984,3997,2315,193,0,0,0,0,0,0,0,0,0,0,0,0
ACR132,"Truck Stop Electrification, Arkansas",Truck Stop Electrification,0,0,0,0,0,0,0,958,1374,1713,3064,7271,8616,5073,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR133,"Truck Stop Electrification, California",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,1315,5941,14687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR134,"Truck Stop Electrification, Colorado",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,0,1795,1841,32,3,0,0,0,0,0,0,0,0,0,0,0,0
ACR135,"Truck Stop Electrification, Florida",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,261,2404,2647,1879,157,0,0,0,0,0,0,0,0,0,0,0,0
ACR136,"Truck Stop Electrification, Georgia",Truck Stop Electrification,0,0,0,0,0,0,0,1715,1716,2158,3364,4785,4923,3559,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR137,"Truck Stop Electrification, Illinois",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,365,6253,8134,5334,445,0,0,0,0,0,0,0,0,0,0,0,0
ACR138,"Truck Stop Electrification, Indiana",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,380,3837,4548,3125,260,0,0,0,0,0,0,0,0,0,0,0,0
ACR139,"Truck Stop Electrification, Kentucky",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,295,1288,1479,935,78,0,0,0,0,0,0,0,0,0,0,0,0
ACR140,"Truck Stop Electrification, Louisianna",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,1049,3299,4174,2844,237,0,0,0,0,0,0,0,0,0,0,0,0
ACR141,"Truck Stop Electrification, Maryland",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,220,1223,3546,3968,2912,243,0,0,0,0,0,0,0,0,0,0,0,0
ACR142,"Truck Stop Electrification, Michigan",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,0,1065,1785,1139,95,0,0,0,0,0,0,0,0,0,0,0,0
ACR143,"Truck Stop Electrification, Minnesota",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,0,429,825,490,41,0,0,0,0,0,0,0,0,0,0,0,0
ACR144,"Truck Stop Electrification, Mississippi",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,473,1271,1504,865,72,0,0,0,0,0,0,0,0,0,0,0,0
ACR145,"Truck Stop Electrification, Missouri",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,351,1782,1970,1174,98,0,0,0,0,0,0,0,0,0,0,0,0
ACR146,"Truck Stop Electrification, Nebraska",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,211,1111,1123,627,52,0,0,0,0,0,0,0,0,0,0,0,0
ACR147,"Truck Stop Electrification, New Jersey",Truck Stop Electrification,0,0,0,0,0,0,0,0,335,982,947,3284,1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR148,"Truck Stop Electrification, New Mexico",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,228,3348,3672,2063,172,0,0,0,0,0,0,0,0,0,0,0,0
ACR149,"Truck Stop Electrification, North Carolina",Truck Stop Electrification,0,0,0,0,0,0,0,0,292,841,1109,2185,2350,1579,132,0,0,0,0,0,0,0,0,0,0,0,0
ACR150,"Truck Stop Electrification, North Dakota",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,0,336,622,363,30,0,0,0,0,0,0,0,0,0,0,0,0
ACR151,"Truck Stop Electrification, Ohio",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,1194,8864,10948,7068,589,0,0,0,0,0,0,0,0,0,0,0,0
ACR152,"Truck Stop Electrification, Oklahoma",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,595,2885,2913,1636,136,0,0,0,0,0,0,0,0,0,0,0,0
ACR153,"Truck Stop Electrification, Oregon",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,0,1581,2312,1560,130,0,0,0,0,0,0,0,0,0,0,0,0
