Project ID,Project Name,Voluntary Registry,"ARB 
Project",Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,"Total Credits 
Issued","Total Credits 
Retired",Total Credits Remaining,"Total Buffer 
Pool Deposits",Reversals Covered by Buffer Pool,Reversals Not Covered by Buffer,First Year of Project
ACR111,Devon Mizer Pneumatic Retrofit,ACR,No,Completed,Industrial & Commercial,Pneumatic Retrofit,Reduction,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,North America,United States,OKLAHOMA,"Oklahoma, Texas, Wyoming",Devon Energy Group,5724,0,5724,0,,,2010.0
ACR112,Dolton LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Dolton,Biogas Energy Solutions,159336,110853,48483,0,,,2006.0
ACR113,Greater New Bedford LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,MASSACHUSETTS,Dartmouth,Commonwealth Resource Management Corporation,713162,468110,245052,0,,655.0,2003.0
ACR114,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),ACR,No,Registered,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,Afforestation and Reforestation of Degraded Lands,North America,United States,ARKANSAS,Mississippi Alluvial Valley,"GreenTrees, LLC",6268282,3341796,2926486,2580,,,2009.0
ACR115,Lower Mississippi Valley Reforestation,ACR,No,Registered,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001,North America,United States,LOUISIANA,"National Wildlife Refuges, Managed by USFWS in the Lower Mississippi Valley","Entergy Services, Inc",13422,399,13023,1113,399.0,,2011.0
ACR116,Societe VERAMA Madagascar Afforestation Project,ACR,No,Inactive,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0001,Sub Saharan Africa,Madagascar,Antonibe,Masiloka Peninsula,Societe VERAMA,0,0,0,0,,,
ACR117,Merit Energy Geo-Seq,ACR,No,Completed,Carbon Capture & Storage,Carbon Capture & Enhanced Oil Recovery,Reduction,Emission Reductions from Enhanced Oil Recovery,North America,United States,WYOMING,LaBarge,Blue Source,7308664,5107419,2201245,0,46.0,,2000.0
ACR118,Monell Geo-Seq,ACR,No,Completed,Carbon Capture & Storage,Carbon Capture & Enhanced Oil Recovery,Reduction,Emission Reductions from Enhanced Oil Recovery,North America,United States,WYOMING,Sweetwater County,Anadarko,1748409,883500,864909,0,,,2004.0
ACR119,North Country LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,NEW HAMPSHIRE,Bethlehem,Commonwealth Resource Management Corporation,1592397,1104920,487477,0,,,1998.0
ACR120,Petrosource Geo-Seq,ACR,No,Completed,Carbon Capture & Storage,Carbon Capture & Enhanced Oil Recovery,Reduction,Emission Reductions from Enhanced Oil Recovery,North America,United States,TEXAS,Crocket County,Blue Source,2181419,1518067,663352,0,,,2003.0
ACR121,Pike's Peak Geo-Seq,ACR,No,Completed,Carbon Capture & Storage,Carbon Capture & Enhanced Oil Recovery,Reduction,Emission Reductions from Enhanced Oil Recovery,North America,United States,TEXAS,Pecos County,Blue Source,2866515,1175231,1691284,0,,,2004.0
ACR122,Romeoville LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Romeoville,Biogas Energy Solutions,52496,14996,37500,0,,,2006.0
ACR123,Salt Creek Geo-Seq,ACR,No,Completed,Carbon Capture & Storage,Carbon Capture & Enhanced Oil Recovery,Reduction,Emission Reductions from Enhanced Oil Recovery,North America,United States,WYOMING,"Salt Creek Field, Natrona Co.",Anadarko,7675073,6390607,1284466,0,,,2004.0
ACR124,Schneider Anti-Idling,ACR,No,Completed,Transportation,Fleet Efficiency,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,WISCONSIN,,Blue Source,42916,17625,25291,0,,,2006.0
ACR125,SEESA Solar Electrification,ACR,No,Completed,Renewable Energy,Solar - Distributed,Reduction,Electricity generation by the user,Central America,El Salvador,,El Salvador,E+Co,169,169,0,0,,,2004.0
ACR126,Seneca Meadows LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,Offset Project Methodology for Landfill Methane Collection and Combustion,North America,United States,NEW YORK,Waterloo,Seneca Meadows,2470626,1700168,770458,0,66020.0,,2010.0
ACR127,Steuben County DPW LFG,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,NEW YORK,Bath,Environmental Capital LLC,129180,109280,19900,0,,,2005.0
ACR128,Streator LFG to Energy,ACR,No,Completed,Waste Management,Landfill Methane,Reduction,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",North America,United States,ILLINOIS,Streator,Biogas Energy Solutions,47150,40591,6559,0,,,2006.0
ACR129,Tecnosol Solar Electrification,ACR,No,Completed,Renewable Energy,Solar - Distributed,Reduction,Electricity generation by the user,Central America,Nicaragua,,Nicaragua,E+Co,3913,3913,0,0,,,2005.0
ACR130,"Truck Stop Electrification, Alabama",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,ALABAMA,Alabama,IdleAir,8356,8130,226,0,,,2004.0
ACR131,"Truck Stop Electrification, Arizona",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,ARIZONA,Arizona,IdleAir,11104,9466,1638,0,,,2006.0
ACR132,"Truck Stop Electrification, Arkansas",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,ARKANSAS,Arkansas,IdleAir,28069,28069,0,0,,,2003.0
ACR133,"Truck Stop Electrification, California",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,CALIFORNIA,California,IdleAir,21943,13690,8253,0,,,2005.0
ACR134,"Truck Stop Electrification, Colorado",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,COLORADO,Colorado,IdleAir,3671,1871,1800,0,,,2007.0
ACR135,"Truck Stop Electrification, Florida",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,FLORIDA,Florida,IdleAir,7348,7098,250,0,,,2006.0
ACR136,"Truck Stop Electrification, Georgia",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,GEORGIA,Georgia,IdleAir,22220,21277,943,0,,,2003.0
ACR137,"Truck Stop Electrification, Illinois",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,ILLINOIS,Illinois,IdleAir,20531,17031,3500,0,,,2006.0
ACR138,"Truck Stop Electrification, Indiana",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,INDIANA,Indiana,IdleAir,12150,12150,0,0,,,2006.0
ACR139,"Truck Stop Electrification, Kentucky",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,KENTUCKY,Kentucky,IdleAir,4075,4075,0,0,,,2006.0
ACR140,"Truck Stop Electrification, Louisianna",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,LOUISIANA,Louisiana,IdleAir,11603,9603,2000,0,,,2006.0
ACR141,"Truck Stop Electrification, Maryland",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,MARYLAND,Maryland,IdleAir,12112,10812,1300,0,,,2005.0
ACR142,"Truck Stop Electrification, Michigan",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,MICHIGAN,Michigan,IdleAir,4084,2084,2000,0,,,2007.0
ACR143,"Truck Stop Electrification, Minnesota",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,MINNESOTA,Minnesota,IdleAir,1785,1185,600,0,,,2007.0
ACR144,"Truck Stop Electrification, Mississippi",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,MISSISSIPPI,Mississippi,IdleAir,4185,3585,600,0,,,2006.0
ACR145,"Truck Stop Electrification, Missouri",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,MISSOURI,Missouri,IdleAir,5375,5359,16,0,,,2006.0
ACR146,"Truck Stop Electrification, Nebraska",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,NEBRASKA,Nebraska,IdleAir,3124,3124,0,0,,,2006.0
ACR147,"Truck Stop Electrification, New Jersey",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,NEW JERSEY,New Jersey,IdleAir,7207,5207,2000,0,,,2004.0
ACR148,"Truck Stop Electrification, New Mexico",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,NEW MEXICO,New Mexico,IdleAir,9483,8283,1200,0,,,2006.0
ACR149,"Truck Stop Electrification, North Carolina",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,NORTH CAROLINA,North Carolina,IdleAir,8488,8488,0,0,,,2004.0
ACR150,"Truck Stop Electrification, North Dakota",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,NORTH DAKOTA,North Dakota,IdleAir,1351,829,522,0,,,2007.0
ACR151,"Truck Stop Electrification, Ohio",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,OHIO,Ohio,IdleAir,28663,24263,4400,0,,,2006.0
ACR152,"Truck Stop Electrification, Oklahoma",ACR,No,Completed,Transportation,Truck Stop Electrification,Reduction,Emissions Reductions though Anti-Idling Technologies,North America,United States,OKLAHOMA,Oklahoma,IdleAir,8165,8165,0,0,,,2006.0
